#SDSS_name	plate-mjd-fibre	RA	Dec.	zQSO	PSF_i	z	z_err	W_2796	W_2796_err	W_2803	W_2803_err	CIV_flag	SNR_con
095339.45-004314.7 00267-51608-0053 148.414400 -0.720770 1.386 19.407 0.815 0.898 0.874 0.139 0.553 0.153 0 9.944
095013.02-002839.1 00267-51608-0264 147.554240 -0.477530 1.892 19.102 1.673 0.901 2.863 0.190 2.496 0.164 0 10.788
095013.02-002839.1 00267-51608-0264 147.554240 -0.477530 1.892 19.102 1.780 0.000 1.292 0.184 1.078 0.181 0 10.788
094744.06-011443.3 00267-51608-0287 146.933620 -1.245390 1.364 18.829 1.212 0.948 1.250 0.139 0.911 0.121 0 12.489
094833.44-005103.4 00267-51608-0294 147.139370 -0.850970 1.606 18.143 0.658 0.383 0.609 0.076 0.543 0.076 0 22.743
094833.44-005103.4 00267-51608-0294 147.139370 -0.850970 1.606 18.143 1.010 0.672 1.072 0.091 0.727 0.093 0 22.743
094833.44-005103.4 00267-51608-0294 147.139370 -0.850970 1.606 18.143 1.173 0.772 0.751 0.068 0.884 0.083 0 22.743
094930.30+011114.9 00267-51608-0365 147.376270 1.187480 2.469 19.889 1.515 0.000 1.533 0.254 0.729 0.216 0 5.688
095540.19+004842.1 00267-51608-0617 148.917470 0.811720 2.019 18.303 0.980 0.386 1.008 0.121 1.331 0.165 0 12.994
125453.61-004324.9 00292-51609-0027 193.723370 -0.723600 2.054 18.630 1.436 0.662 1.504 0.102 1.785 0.137 0 13.617
125453.61-004324.9 00292-51609-0027 193.723370 -0.723600 2.054 18.630 1.918 0.898 2.939 0.251 2.148 0.202 0 13.617
125141.15-005357.3 00292-51609-0053 192.921460 -0.899250 1.552 18.955 1.025 0.465 2.375 0.186 2.075 0.162 0 11.551
125056.71-005807.4 00292-51609-0100 192.736310 -0.968720 1.666 18.940 0.841 0.930 0.722 0.120 0.613 0.131 0 14.104
125220.47-003948.4 00292-51609-0104 193.085310 -0.663470 1.828 18.492 1.765 0.000 0.803 0.084 0.810 0.080 0 15.551
124949.28-005014.8 00292-51609-0132 192.455350 -0.837450 1.375 19.004 1.285 0.826 1.445 0.105 1.189 0.097 0 15.839
124532.36-004742.1 00292-51609-0293 191.384860 -0.795040 1.995 18.862 1.367 0.000 0.685 0.104 0.331 0.105 0 14.374
125031.62+000217.2 00292-51609-0511 192.631770 0.038140 2.098 18.783 1.326 0.583 2.047 0.085 1.922 0.111 0 14.422
125031.62+000217.2 00292-51609-0511 192.631770 0.038140 2.098 18.783 1.794 0.000 1.543 0.128 1.307 0.148 0 14.422
125143.16+000725.8 00292-51609-0555 192.929870 0.123850 2.954 18.608 1.127 0.440 2.024 0.132 1.509 0.121 1 15.199
112601.38-004509.0 00280-51612-0017 171.505750 -0.752510 2.129 18.963 0.878 0.619 0.949 0.125 0.933 0.163 0 12.233
112601.38-004509.0 00280-51612-0017 171.505750 -0.752510 2.129 18.963 1.556 0.000 0.806 0.109 1.004 0.110 0 12.233
112542.29+000101.3 00280-51612-0077 171.426250 0.017040 1.689 17.305 0.728 0.318 0.796 0.084 0.489 0.070 0 27.825
112542.29+000101.3 00280-51612-0077 171.426250 0.017040 1.689 17.305 0.746 0.168 1.052 0.073 0.956 0.078 0 27.825
112542.29+000101.3 00280-51612-0077 171.426250 0.017040 1.689 17.305 0.888 0.272 0.613 0.072 0.583 0.077 0 27.825
112210.88-011127.5 00280-51612-0130 170.545350 -1.190970 1.765 18.629 1.306 0.715 1.867 0.111 1.444 0.114 0 12.458
112109.36-011253.5 00280-51612-0208 170.289020 -1.214870 1.675 18.394 0.896 0.393 2.043 0.133 1.853 0.144 0 13.098
112109.36-011253.5 00280-51612-0208 170.289020 -1.214870 1.675 18.394 1.497 0.604 3.266 0.127 3.209 0.130 0 13.098
112249.43+002047.5 00280-51612-0500 170.706000 0.346540 2.576 20.091 0.811 0.000 2.144 0.257 0.940 0.278 1 6.141
112249.43+002047.5 00280-51612-0500 170.706000 0.346540 2.576 20.091 1.499 0.000 2.898 0.274 2.524 0.251 0 6.141
142614.71-004352.1 00305-51613-0062 216.561300 -0.731150 1.807 18.699 1.160 0.862 0.539 0.081 0.765 0.098 0 17.582
142730.99-005421.5 00305-51613-0072 216.879150 -0.906000 2.287 18.284 1.340 20.000 0.489 0.074 0.284 0.069 0 21.719
142412.74-002214.0 00305-51613-0250 216.053120 -0.370560 1.790 19.260 1.144 0.000 2.901 0.246 2.473 0.267 0 7.181
142306.13-005134.7 00305-51613-0289 215.775570 -0.859640 2.069 18.162 1.400 0.458 1.610 0.081 1.110 0.094 0 23.348
142650.90+005150.6 00305-51613-0556 216.712100 0.864060 1.333 18.751 0.735 0.418 0.845 0.079 0.743 0.086 0 19.952
142650.90+005150.6 00305-51613-0556 216.712100 0.864060 1.333 18.751 0.842 0.408 2.411 0.112 1.975 0.117 0 19.952
112838.32-005810.1 00281-51614-0094 172.159680 -0.969490 1.372 18.921 0.587 0.343 1.755 0.161 1.684 0.141 0 13.118
112811.52-003858.0 00281-51614-0169 172.048000 -0.649450 2.150 19.994 1.363 0.000 1.899 0.238 1.611 0.199 0 5.442
112506.75-000800.0 00281-51614-0232 171.278140 -0.133360 1.906 18.076 0.939 0.608 0.519 0.082 0.358 0.078 0 25.471
112506.75-000800.0 00281-51614-0232 171.278140 -0.133360 1.906 18.076 1.300 0.451 0.976 0.066 1.051 0.081 0 25.471
112506.75-000800.0 00281-51614-0232 171.278140 -0.133360 1.906 18.076 1.452 0.000 0.450 0.059 0.387 0.059 0 25.471
112506.75-000800.0 00281-51614-0232 171.278140 -0.133360 1.906 18.076 1.543 0.554 1.039 0.068 0.960 0.076 0 25.471
112416.84-002051.0 00281-51614-0264 171.070180 -0.347500 1.979 18.627 0.488 0.443 0.696 0.108 0.423 0.103 1 17.568
112226.24-000518.0 00281-51614-0304 170.609380 -0.088350 2.099 18.729 1.318 0.865 0.863 0.109 0.277 0.077 0 12.631
112310.97+003745.0 00281-51614-0384 170.795720 0.629180 1.173 19.048 0.374 0.683 1.021 0.116 0.648 0.134 0 14.790
141608.47-003712.3 00303-51615-0068 214.035300 -0.620100 1.918 18.970 1.315 0.740 1.471 0.126 1.900 0.184 0 10.075
141026.42-005009.6 00303-51615-0287 212.610090 -0.836000 2.371 17.561 1.588 0.712 0.414 0.059 0.264 0.055 0 24.343
141302.72+005323.6 00303-51615-0402 213.261350 0.889910 1.912 18.715 0.800 0.633 0.960 0.095 0.489 0.116 0 12.509
141302.72+005323.6 00303-51615-0402 213.261350 0.889910 1.912 18.715 1.714 0.740 1.262 0.140 1.309 0.131 0 12.509
141549.70+005356.4 00303-51615-0536 213.957100 0.899020 1.043 16.919 0.867 0.240 0.515 0.070 0.455 0.071 0 31.673
141721.23+005714.1 00303-51615-0576 214.338490 0.953940 1.966 19.121 1.379 0.000 1.556 0.115 1.264 0.134 0 11.245
120932.25+004555.9 00323-51615-0370 182.384410 0.765530 1.442 17.009 0.735 0.215 0.687 0.062 0.615 0.061 0 31.611
094159.06-001552.3 00266-51630-0280 145.496120 -0.264550 2.567 18.813 0.772 0.966 0.593 0.088 0.407 0.080 1 17.059
094121.27+000825.3 00266-51630-0351 145.338650 0.140370 1.478 19.040 1.343 0.000 0.748 0.115 0.635 0.104 0 11.475
094535.50+000842.5 00266-51630-0508 146.397950 0.145150 1.904 19.197 1.400 0.000 1.799 0.132 1.267 0.137 0 10.243
100151.58-001627.0 00268-51633-0027 150.464950 -0.274190 3.673 19.280 1.403 0.000 1.335 0.175 0.921 0.179 1 8.127
095938.28-003500.8 00268-51633-0059 149.909530 -0.583570 1.877 18.586 1.598 0.561 2.334 0.103 1.902 0.125 0 20.642
100017.67+000523.6 00268-51633-0160 150.073650 0.089910 0.905 18.727 0.672 0.268 1.958 0.119 1.671 0.107 0 13.115
095620.13-005938.6 00268-51633-0259 149.083900 -0.994070 0.917 19.128 0.644 0.994 1.417 0.157 1.069 0.137 0 12.869
095334.95+003724.3 00268-51633-0342 148.395660 0.623440 2.605 19.093 1.380 0.000 1.472 0.174 0.589 0.106 0 8.363
143628.46-003840.1 00306-51637-0016 219.118590 -0.644500 2.053 18.297 1.177 0.776 0.690 0.081 0.658 0.085 0 22.705
143143.80-005011.4 00306-51637-0129 217.932510 -0.836510 1.185 17.879 0.686 0.479 0.716 0.078 0.377 0.062 0 27.061
143255.35-003109.2 00306-51637-0176 218.230670 -0.519250 2.072 18.729 1.380 0.612 2.039 0.100 1.720 0.101 0 15.822
143116.86-004637.7 00306-51637-0218 217.820270 -0.777170 2.211 18.965 1.408 0.862 1.456 0.092 1.377 0.094 0 16.031
142733.84-001041.9 00306-51637-0279 216.891020 -0.178310 1.551 17.435 1.082 0.358 0.872 0.071 0.623 0.071 0 28.337
142954.49+002327.5 00306-51637-0428 217.477050 0.390990 1.997 18.987 0.831 0.908 0.863 0.118 0.395 0.130 0 13.357
142954.49+002327.5 00306-51637-0428 217.477050 0.390990 1.997 18.987 1.760 0.000 1.463 0.148 1.447 0.160 0 13.357
143113.07+003003.0 00306-51637-0479 217.804470 0.500840 1.078 19.099 1.018 0.604 1.320 0.119 1.056 0.128 0 15.374
143218.03+002529.4 00306-51637-0512 218.075130 0.424860 1.714 19.160 1.264 0.000 1.039 0.160 0.796 0.116 0 8.523
143218.03+002529.4 00306-51637-0512 218.075130 0.424860 1.714 19.160 1.460 0.000 1.202 0.098 1.033 0.112 0 8.523
